frame,status,source,prior_error,edge_error,green_error,twist_angle_deg,local_det,notes
frame_0114.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0116.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0118.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0120.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0122.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0124.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0126.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0128.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0130.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0132.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0134.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0136.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0138.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0140.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0142.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0144.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0146.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0148.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0150.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0152.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0154.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0156.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0158.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0160.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0162.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0164.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0166.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0168.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0170.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0172.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0174.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0176.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0178.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0180.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0182.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0184.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0186.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0188.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0190.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0192.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0194.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0196.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0198.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0200.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0202.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0204.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0206.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0208.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0210.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0226.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0304.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0308.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0314.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0324.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0350.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0358.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0360.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0366.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0376.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0392.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0404.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0406.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0408.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0412.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0430.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0432.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0434.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0448.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0450.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0472.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0500.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0502.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0514.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0516.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0526.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0544.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0546.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0548.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0552.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0554.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0556.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0558.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0560.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0562.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0564.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0566.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0568.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0570.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0572.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0574.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0576.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0578.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0580.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0582.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0584.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0586.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0588.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0590.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0592.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0594.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0596.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0598.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0600.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0602.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0604.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0606.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0608.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0610.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0612.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0614.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0616.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0618.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0620.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0622.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0624.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0626.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0628.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0630.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0632.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0634.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0636.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0640.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0642.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0644.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0646.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0648.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0650.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0652.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0654.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0656.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0658.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
