frame,original_green_error_px,corrected_green_error_px,left_shift_x,left_shift_y,right_shift_x,right_shift_y,left_marker_x,left_marker_y,right_marker_x,right_marker_y,right_track_score,left_marker_rank,output_width,output_height
frame_0000.jpg,137.84800913052908,1.1368683772161603e-13,-68.75605334469248,-4.808693562123608,68.75605334469248,4.808693562123608,486.06900559308485,1077.9893222924384,316.0,1030.0,0.8119168877601624,0,1668,1297
frame_0002.jpg,141.04027041008402,0.0,-70.48443565283094,-2.2436131661539775,70.48443565283094,2.2436131661539775,485.49415681478456,1077.8279657562168,312.0,1035.0,0.8524904847145081,0,1668,1297
frame_0004.jpg,142.97596066415966,2.3437142008433856e-13,-71.4541556459937,-2.1988571754301347,71.4541556459937,2.1988571754301347,486.51427602577144,1077.7804679552391,311.0,1035.0,0.8589375615119934,0,1668,1297
frame_0006.jpg,141.5511850708913,5.684341886080802e-14,-70.71989678071486,-2.80725810506749,70.71989678071486,2.80725810506749,485.9912897822445,1077.9828475711893,312.0,1034.0,0.8712901473045349,0,1668,1297
frame_0008.jpg,142.15454049500104,2.5421149729252077e-13,-71.03536632450692,-2.440302640930213,71.03536632450692,2.440302640930213,486.6494140625,1078.2895182291666,312.0,1035.0,0.845663845539093,0,1668,1297
frame_0010.jpg,141.34513903264232,2.3437142008433856e-13,-70.61159099250654,-2.9351830515687425,70.61159099250654,2.9351830515687425,486.8145923931801,1078.2862566438876,313.0,1034.0,0.8469007611274719,0,1668,1297
frame_0012.jpg,142.63709572803268,5.684341886080802e-14,-71.27048228206962,-2.6179428399395874,71.27048228206962,2.6179428399395874,486.13167358229595,1077.594744121715,311.0,1034.0,0.8545089960098267,0,1668,1297
frame_0014.jpg,140.34206913878,0.0,-70.12212684903648,-2.6194309890062186,70.12212684903648,2.6194309890062186,485.8115732119456,1077.5834885164495,313.0,1034.0,0.8746387362480164,0,1668,1297
frame_0016.jpg,142.6249986138438,2.3437142008433856e-13,-71.19889751861581,-4.023623930411418,71.19889751861581,4.023623930411418,486.8227491961415,1080.5541264737406,312.0,1034.0,0.8505963683128357,0,1668,1297
frame_0018.jpg,152.50382355029416,5.684341886080802e-14,-75.79007148726379,-8.379684559710995,75.79007148726379,8.379684559710995,494.9200799200799,1089.9888777888777,311.0,1034.0,0.8737116456031799,0,1668,1297
frame_0020.jpg,151.1024045955934,1.1368683772161603e-13,-75.13635452276486,-7.906478209164561,75.13635452276486,7.906478209164561,494.6670749132476,1088.9920391916717,312.0,1034.0,0.8667713403701782,0,1668,1297
frame_0022.jpg,151.3867311309369,2.5421149729252077e-13,-75.363426189167,-7.059715550758597,75.363426189167,7.059715550758597,495.13101160862357,1089.33181315644,312.0,1036.0,0.8591048121452332,0,1668,1297
frame_0024.jpg,150.78227622149785,2.2737367544323206e-13,-75.06020060965852,-7.056202241421147,75.06020060965852,7.056202241421147,494.4782402707275,1089.2954991539762,312.0,1036.0,0.8247875571250916,0,1668,1297
