frame,left_path,right_path,status,source,left_pattern,right_pattern,common_pattern,inliers,reprojection_error,prior_error,edge_error,green_error,twist_angle_deg,local_det,notes,left_h_11,left_h_12,left_h_13,left_h_21,left_h_22,left_h_23,left_h_31,left_h_32,left_h_33,right_h_11,right_h_12,right_h_13,right_h_21,right_h_22,right_h_23,right_h_31,right_h_32,right_h_33,direct_h_11,direct_h_12,direct_h_13,direct_h_21,direct_h_22,direct_h_23,direct_h_31,direct_h_32,direct_h_33,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33
frame_0000.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0000.jpg,green_aligned_repair,marker_track,6x7,6x8,6x6,36,0.288507878780365,0.0,0.051167411823149545,0.000000,-4.087284629936766,0.9729050072051222,initial-green-repair;pre_error=137.848,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0002.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0002.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0002.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=141.040,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0004.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0004.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0004.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=142.976,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0006.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0006.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0006.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=141.551,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0008.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0008.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0008.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=142.155,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0010.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0010.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0010.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=141.345,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0012.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0012.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0012.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=142.637,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0014.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0014.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0014.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=140.342,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0016.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0016.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0016.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=142.625,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0018.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0018.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0018.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=152.504,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_0020.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0020.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0020.jpg,green_aligned_repair,marker_track,6x7,6x8,,0,inf,inf,inf,0.000000,inf,inf,board-rejected;no-valid-new-h;initial-green-repair;pre_error=151.102,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
