frame,original_green_error_px,corrected_green_error_px,left_shift_x,left_shift_y,right_shift_x,right_shift_y,left_marker_x,left_marker_y,right_marker_x,right_marker_y,left_track_score,right_track_score,left_marker_rank,right_marker_rank,output_width,output_height,mode
frame_0480.jpg,3.441132899169709,2.5421149729252077e-13,-0.5607531483212824,-1.6266237469325233,0.5607531483212824,1.6266237469325233,1164.8594701038307,845.0537952022913,961.1407002891102,843.5396723417925,0.9864718317985535,0.9670968055725098,0,0,1952,1342,overwrite
frame_0482.jpg,10.808470558658795,4.547473508864641e-13,-4.661803184508358,-2.733742859754045,4.661803184508358,2.733742859754045,1173.9192495921698,844.4025738626065,965.3086900129701,842.7013323900483,0.9849615097045898,0.962053656578064,0,0,1951,1346,overwrite
frame_0484.jpg,6.975888282089629,3.2155493553843715e-13,-2.7522119905091813,-2.142681378634336,2.7522119905091813,2.142681378634336,1164.2869300367283,846.6087073367374,971.1094561828888,842.2271100334834,0.9851452112197876,0.9578432440757751,0,0,1933,1339,overwrite
frame_0486.jpg,12.724907917366544,2.5421149729252077e-13,-6.005961616917148,-2.0998203333815013,6.005961616917148,2.0998203333815013,1168.838959212377,845.5399964838256,963.9698117539026,845.3288567493113,0.9840260148048401,0.9628102779388428,0,0,1943,1346,overwrite
frame_0488.jpg,10.14169971504644,2.2737367544323206e-13,-4.166250536701114,-2.890652995947619,4.166250536701114,2.890652995947619,1173.8435593828488,845.8185324721923,974.2441488051244,844.7883715200787,0.9871311783790588,0.9602131843566895,0,0,1941,1344,overwrite
frame_0490.jpg,8.773417703147324,2.5421149729252077e-13,-3.5293949650115337,-2.6051076233864023,3.5293949650115337,2.6051076233864023,1173.8333333333333,845.6906666666666,964.0191104933982,845.8944869122074,0.9850281476974487,0.9598979949951172,0,0,1960,1347,overwrite
frame_0492.jpg,10.056344264256142,1.1368683772161603e-13,-4.0476842706868865,-2.983080125498361,4.0476842706868865,2.983080125498361,1183.7032907261355,845.0900190372587,975.1259512937595,846.5379249112125,0.9853894114494324,0.962752640247345,0,0,1959,1354,overwrite
frame_0494.jpg,8.882531191084894,3.2155493553843715e-13,-3.927890187968046,-2.0728045642108555,3.927890187968046,2.0728045642108555,1186.0858794384806,842.9768786127167,968.9856798525449,848.472281298738,0.9856796264648438,0.9576985836029053,0,1,1978,1356,overwrite
frame_0496.jpg,10.600960457765108,2.2737367544323206e-13,-4.030067312712731,-3.442912736590813,4.030067312712731,3.442912736590813,1179.5079268292684,842.7641260162601,975.3923493142065,848.6689316723292,0.9826213121414185,0.9611688256263733,0,0,1956,1355,overwrite
frame_0498.jpg,15.924889538238766,1.1368683772161603e-13,-7.262586988030762,-3.2642544236874187,7.262586988030762,3.2642544236874187,1184.2411193721603,842.5951053283767,961.0260606060606,848.5667878787879,0.984000027179718,0.962239146232605,0,0,1980,1354,overwrite
frame_0500.jpg,17.019802647576256,1.1368683772161603e-13,-8.051870651736294,-2.7542330236054227,8.051870651736294,2.7542330236054227,1188.955676988464,842.278283748229,964.7407544378698,848.9924802761341,0.9821426868438721,0.959058940410614,0,1,1980,1354,overwrite
frame_0502.jpg,11.099760670739984,4.687428401686771e-13,-4.50351637991912,-3.2433797114625236,4.50351637991912,3.2433797114625236,1189.0160690971175,842.1399015767801,971.887018057589,847.8626159102,0.984031617641449,0.9624369740486145,0,0,1980,1354,overwrite
frame_0504.jpg,13.570662746471035,1.1368683772161603e-13,-5.243783132803173,-4.306211827203015,5.243783132803173,4.306211827203015,1193.31602524944,842.2185909183465,975.2402153926976,847.0721040189126,0.9824573993682861,0.9697932600975037,0,0,1978,1355,overwrite
frame_0506.jpg,14.58364286273824,1.1368683772161603e-13,-6.503972458931003,-3.296816955859242,6.503972458931003,3.296816955859242,1202.5241110055924,841.3615068059512,981.9993781094527,845.8155472636815,0.9839966297149658,0.9592316150665283,0,0,1980,1353,overwrite
