frame,stem,frame_index,left_path,right_path,base_stitched_path,output_path,output_width,output_height,hess_residual_x,hess_residual_y,target_dx,target_dy,measured_dx,measured_dy,raw_correction_dx,raw_correction_dy,raw_correction_norm,correction_dx,correction_dy,correction_norm,correction_interpolated,correction_norm_reliable,left_translation_x,left_translation_y,right_translation_x,right_translation_y,selected_left_rank,selected_right_rank,selected_pair_error_to_target,selected_left_x,selected_left_y,selected_right_x,selected_right_y,left_candidate_count,right_candidate_count,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33
frame_0000.jpg,frame_0000,0,D:\visualization2026\visualization\left_downsample2_Q29\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0000.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0000.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0000.jpg,1668,1297,0.01181595528838672,-0.014764096243397376,1.6881633703631973,-22.119533419773376,-45.9798266235461,-6.196617626406464,47.6679899939093,-15.922915793366911,50.25710414878767,45.36453973944311,-14.724543864402804,47.694377632863976,0,1,22.682269869721555,-7.362271932201402,-22.682269869721555,7.362271932201402,0,0,50.25710414878767,455.634179694867,956.7368338886909,501.6140063184131,962.9334515150973,12,12,0.8941971411343395,0.07481037698918558,-46.2052983853944,-0.08453841698440169,0.9522055036406154,124.03503620439463,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,114.07378347497092,0.0,1.0,109.170965494325,0.0,0.0,1.0
frame_0002.jpg,frame_0002,2,D:\visualization2026\visualization\left_downsample2_Q29\frame_0002.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0002.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0002.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0002.jpg,1668,1297,0.012259208909128239,-0.014249803563512214,1.2228946736004656,-21.42232070519425,-41.36403149940173,0.9898752507043582,42.5869261730022,-22.412195955898607,48.124347355889796,43.94605724997159,-12.721774661710132,45.750404351886445,0,1,21.973028624985794,-6.360887330855066,-21.973028624985794,6.360887330855066,0,0,48.124347355889796,460.3920474919465,968.1711319034908,501.75607899134826,967.1812566527865,12,12,0.8942883495647336,0.0747994873340553,-48.64292193826862,-0.08467186321488213,0.9522214361966531,127.60150120171059,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.51140702784514,0.0,1.0,105.60450049700904,0.0,0.0,1.0
frame_0004.jpg,frame_0004,4,D:\visualization2026\visualization\left_downsample2_Q29\frame_0004.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0004.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0004.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0004.jpg,1668,1297,0.01267757088678284,-0.013861706983261765,0.8319128399361355,-20.903380348609595,-40.399889702549274,-17.461604362594926,41.23180254248541,-3.441775986014669,41.37520226948037,43.31449975089309,-11.741135974683704,44.87761315674141,0,1,21.657249875446546,-5.870567987341852,-21.657249875446546,5.870567987341852,0,0,41.37520226948037,461.9906007109101,972.4440239662873,502.39049041345936,989.9056283288822,12,12,0.8943364490025889,0.07479374459417983,-49.928420680970625,-0.08469188410010901,0.9522238265517396,128.13657653594765,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,117.79690577054714,0.0,1.0,105.06942516277199,0.0,0.0,1.0
frame_0006.jpg,frame_0006,6,D:\visualization2026\visualization\left_downsample2_Q29\frame_0006.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0006.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0006.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0006.jpg,1668,1297,0.013028921070579375,-0.01378984222141831,0.6292892136105769,-20.830770923090405,-39.94628833294115,-14.921701143186851,40.57557754655173,-5.909069779903554,41.00359251212023,42.681642711694934,-10.818747831671855,44.03144250662344,0,1,21.340821355847467,-5.4093739158359275,-21.340821355847467,5.4093739158359275,0,0,41.00359251212023,463.30839381465887,972.0094732232467,503.2546821476,986.9311743664335,12,12,0.894320815066842,0.07479561117787034,-49.51059033529087,-0.08468637606895399,0.9522231689309533,127.98936967781621,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,117.3790754248674,0.0,1.0,105.21663202090342,0.0,0.0,1.0
frame_0008.jpg,frame_0008,8,D:\visualization2026\visualization\left_downsample2_Q29\frame_0008.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0008.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0008.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0008.jpg,1668,1297,0.013356383161506113,-0.014177211393494663,0.6652877134356185,-21.41262222316395,-43.84491478508119,-10.392899864929177,44.510202498516804,-11.019722358234773,45.85403370818701,43.771318574374384,-8.787481181120024,44.64468787266757,0,1,21.885659287187192,-4.393740590560012,-21.885659287187192,4.393740590560012,0,0,45.85403370818701,462.8439449892074,972.1455832709064,506.6888597742886,982.5384831358356,12,12,0.8943122328021254,0.07479663584086035,-49.281221947743205,-0.0847381083199057,0.9522293454035615,129.3719584672294,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,117.14970703731973,0.0,1.0,103.83404323149023,0.0,0.0,1.0
frame_0010.jpg,frame_0010,10,D:\visualization2026\visualization\left_downsample2_Q29\frame_0010.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0010.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0010.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0010.jpg,1668,1297,0.013670817718060446,-0.014753771931886858,0.8011067922756921,-22.263819583724935,-43.70259800564281,-10.95284450541726,44.5037047979185,-11.310975078307674,45.91860078402184,44.005884621020435,-8.788896710731342,44.874966146733385,0,1,22.002942310510218,-4.394448355365671,-22.002942310510218,4.394448355365671,0,0,45.91860078402184,463.2899008015572,972.0653989111491,506.99249880720004,983.0182434165664,12,12,0.8942919880505178,0.07479905292404282,-48.74016359241979,-0.08471956492359214,0.9522271314504224,128.8763702917852,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.60864868199631,0.0,1.0,104.32963140693441,0.0,0.0,1.0
frame_0012.jpg,frame_0012,12,D:\visualization2026\visualization\left_downsample2_Q29\frame_0012.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0012.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0012.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0012.jpg,1668,1297,0.013850317860578831,-0.015085167832324817,0.879758198326223,-22.75296590941402,-47.15554728807325,-10.497103206274573,48.03530548639947,-12.255862703139446,49.57415398945224,44.76767561229142,-8.790305577800074,45.62251913121913,0,1,22.38383780614571,-4.395152788900037,-22.38383780614571,4.395152788900037,0,0,49.57415398945224,462.17639521294296,971.9233566580593,509.3319425010162,982.4204598643339,12,12,0.894302389804304,0.07479781102665468,-49.01815938634739,-0.08473140872590922,0.9522285455184213,129.19290606988,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.88664447592392,0.0,1.0,104.01309562883962,0.0,0.0,1.0
frame_0014.jpg,frame_0014,14,D:\visualization2026\visualization\left_downsample2_Q29\frame_0014.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0014.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0014.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0014.jpg,1668,1297,0.013856033931895273,-0.015019892531084211,0.8447371492850688,-22.6601401440871,-41.5598956264306,-19.21128651001584,42.40463277571567,-3.4488536340712628,42.544652686707245,46.92733264002972,-6.41423422668557,47.363666976098706,0,1,23.46366632001486,-3.207117113342785,-23.46366632001486,3.207117113342785,0,0,42.544652686707245,463.4723928221676,972.6315079410555,505.0322884485982,991.8427944510713,12,12,0.8942190179644696,0.07480776504712681,-46.789975439445094,-0.08477580571138789,0.9522338462111161,130.37945359637064,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,114.65846052902162,0.0,1.0,102.82654810234901,0.0,0.0,1.0
frame_0016.jpg,frame_0016,16,D:\visualization2026\visualization\left_downsample2_Q29\frame_0016.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0016.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0016.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0016.jpg,1668,1297,0.013799303892340659,-0.014891979829661894,0.8084101416081133,-22.47241510955067,-43.57612236129853,-16.556300994303456,44.384532502906644,-5.916114115247215,44.77708266207395,48.83312009058258,-4.521938400351278,49.04203854529124,0,1,24.41656004529129,-2.260969200175639,-24.41656004529129,2.260969200175639,0,0,44.77708266207395,462.7635386201666,970.4675274350855,506.33966098146516,987.0238284293889,12,12,0.8942236530614839,0.07480721164863324,-46.913852383747994,-0.08475866706500985,0.9522317999753936,129.92140856813256,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,114.78233747332452,0.0,1.0,103.28459313058706,0.0,0.0,1.0
frame_0018.jpg,frame_0018,18,D:\visualization2026\visualization\left_downsample2_Q29\frame_0018.jpg,D:\visualization2026\visualization\right_downsample2_Q29\frame_0018.jpg,D:\visualization2026\dowsample2_Q29\stitched_frames\frame_0018.jpg,D:\visualization2026\dowsample2_Q29_hess_matched\stitched_frames\frame_0018.jpg,1668,1297,0.013759011107880581,-0.014827800813236341,0.7958078422736431,-22.377211526641442,-54.51267979493463,-23.237845923979194,55.30848763720827,0.8606343973377513,55.3151832346337,50.12858152298652,-2.7357226969146633,50.20317583760135,0,1,25.06429076149326,-1.3678613484573316,-25.06429076149326,1.3678613484573316,0,0,55.3151832346337,457.61064814989373,966.0535852531979,512.1233279448284,989.2914311771771,12,12,0.8943712046672191,0.07478959500844513,-50.857295636194,-0.0846290939457313,0.9522163298420189,126.45845579055131,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,118.72578072577053,0.0,1.0,106.74754590816832,0.0,0.0,1.0
