frame,source_width,source_height,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,invalid_pixels_inside_crop,output_width,output_height
frame_0000.jpg,1668,1297,45,42,1668,1179,1623,1137,0,1623,1137
frame_0002.jpg,1668,1297,43,39,1668,1175,1625,1136,0,1625,1136
frame_0004.jpg,1668,1297,41,38,1668,1175,1627,1137,0,1627,1137
frame_0006.jpg,1668,1297,42,38,1668,1175,1626,1137,0,1626,1137
frame_0008.jpg,1668,1297,42,37,1668,1174,1626,1137,0,1626,1137
frame_0010.jpg,1668,1297,42,38,1668,1174,1626,1136,0,1626,1136
frame_0012.jpg,1668,1297,42,37,1668,1174,1626,1137,0,1626,1137
frame_0014.jpg,1668,1297,44,36,1668,1173,1624,1137,0,1624,1137
frame_0016.jpg,1668,1297,44,36,1668,1173,1624,1137,0,1624,1137
frame_0018.jpg,1668,1297,40,40,1668,1176,1628,1136,0,1628,1136
frame_0020.jpg,1668,1297,42,39,1668,1176,1626,1137,0,1626,1137
frame_0022.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0024.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0026.jpg,1668,1297,42,38,1668,1174,1626,1136,0,1626,1136
frame_0028.jpg,1668,1297,38,38,1668,1174,1630,1136,0,1630,1136
frame_0030.jpg,1668,1297,33,45,1668,1181,1635,1136,0,1635,1136
frame_0032.jpg,1668,1297,48,30,1668,1167,1620,1137,0,1620,1137
frame_0034.jpg,1668,1297,48,38,1668,1175,1620,1137,0,1620,1137
frame_0036.jpg,1668,1297,46,43,1668,1180,1622,1137,0,1622,1137
frame_0038.jpg,1668,1297,41,38,1668,1175,1627,1137,0,1627,1137
frame_0040.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0042.jpg,1668,1297,46,38,1668,1176,1622,1138,0,1622,1138
frame_0044.jpg,1668,1297,40,40,1668,1176,1628,1136,0,1628,1136
frame_0046.jpg,1668,1297,42,42,1668,1179,1626,1137,0,1626,1137
frame_0048.jpg,1668,1297,43,39,1668,1176,1625,1137,0,1625,1137
frame_0050.jpg,1668,1297,36,39,1668,1176,1632,1137,0,1632,1137
frame_0052.jpg,1668,1297,39,40,1668,1177,1629,1137,0,1629,1137
frame_0054.jpg,1668,1297,40,43,1668,1179,1628,1136,0,1628,1136
frame_0056.jpg,1668,1297,40,41,1668,1177,1628,1136,0,1628,1136
frame_0058.jpg,1668,1297,37,35,1668,1171,1631,1136,0,1631,1136
frame_0060.jpg,1668,1297,37,46,1668,1182,1631,1136,0,1631,1136
frame_0062.jpg,1668,1297,39,44,1668,1180,1629,1136,0,1629,1136
frame_0064.jpg,1668,1297,38,41,1668,1178,1630,1137,0,1630,1137
frame_0066.jpg,1668,1297,35,42,1668,1178,1633,1136,0,1633,1136
frame_0068.jpg,1668,1297,39,41,1668,1178,1629,1137,0,1629,1137
frame_0070.jpg,1668,1297,39,41,1668,1177,1629,1136,0,1629,1136
frame_0072.jpg,1668,1297,35,41,1668,1177,1633,1136,0,1633,1136
frame_0074.jpg,1668,1297,38,42,1668,1179,1630,1137,0,1630,1137
frame_0076.jpg,1668,1297,37,42,1668,1179,1631,1137,0,1631,1137
