frame,source_width,source_height,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,invalid_pixels_inside_crop,output_width,output_height
frame_0000.jpg,1668,1297,41,52,1668,1177,1627,1125,0,1627,1125
frame_0002.jpg,1668,1297,37,52,1668,1177,1631,1125,0,1631,1125
frame_0004.jpg,1668,1297,41,44,1668,1181,1627,1137,0,1627,1137
frame_0006.jpg,1668,1297,47,37,1668,1174,1621,1137,0,1621,1137
frame_0008.jpg,1668,1297,47,37,1668,1174,1621,1137,0,1621,1137
frame_0010.jpg,1668,1297,74,31,1668,1227,1594,1196,0,1594,1196
frame_0012.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0014.jpg,1668,1297,42,38,1668,1174,1626,1136,0,1626,1136
frame_0016.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0018.jpg,1668,1297,43,38,1668,1175,1625,1137,0,1625,1137
frame_0020.jpg,1668,1297,42,38,1668,1174,1626,1136,0,1626,1136
frame_0022.jpg,1668,1297,42,38,1668,1175,1626,1137,0,1626,1137
frame_0024.jpg,1668,1297,42,38,1668,1174,1626,1136,0,1626,1136
frame_0026.jpg,1668,1297,40,39,1668,1175,1628,1136,0,1628,1136
frame_0028.jpg,1668,1297,40,39,1668,1175,1628,1136,0,1628,1136
frame_0030.jpg,1668,1297,77,0,1668,1189,1591,1189,0,1591,1189
frame_0032.jpg,1668,1297,40,39,1668,1175,1628,1136,0,1628,1136
frame_0034.jpg,1668,1297,78,0,1668,1194,1590,1194,0,1590,1194
frame_0036.jpg,1668,1297,40,38,1668,1175,1628,1137,0,1628,1137
frame_0038.jpg,1668,1297,40,38,1668,1175,1628,1137,0,1628,1137
frame_0040.jpg,1668,1297,41,39,1668,1176,1627,1137,0,1627,1137
frame_0042.jpg,1668,1297,72,0,1668,1189,1596,1189,0,1596,1189
frame_0044.jpg,1668,1297,42,39,1668,1175,1626,1136,0,1626,1136
frame_0046.jpg,1668,1297,40,39,1668,1175,1628,1136,0,1628,1136
frame_0048.jpg,1668,1297,36,40,1668,1176,1632,1136,0,1632,1136
frame_0050.jpg,1668,1297,37,40,1668,1176,1631,1136,0,1631,1136
frame_0052.jpg,1668,1297,35,40,1668,1176,1633,1136,0,1633,1136
frame_0054.jpg,1668,1297,35,40,1668,1176,1633,1136,0,1633,1136
frame_0056.jpg,1668,1297,31,41,1668,1176,1637,1135,0,1637,1135
frame_0058.jpg,1668,1297,32,40,1668,1176,1636,1136,0,1636,1136
frame_0060.jpg,1668,1297,35,40,1668,1176,1633,1136,0,1633,1136
frame_0062.jpg,1668,1297,34,40,1668,1176,1634,1136,0,1634,1136
frame_0064.jpg,1668,1297,35,40,1668,1176,1633,1136,0,1633,1136
frame_0066.jpg,1668,1297,37,39,1668,1176,1631,1137,0,1631,1137
frame_0068.jpg,1668,1297,35,40,1668,1176,1633,1136,0,1633,1136
frame_0070.jpg,1668,1297,35,40,1668,1177,1633,1137,0,1633,1137
frame_0072.jpg,1668,1297,80,0,1668,1185,1588,1185,0,1588,1185
frame_0074.jpg,1668,1297,51,22,1647,1218,1596,1196,0,1596,1196
frame_0076.jpg,1668,1297,18,39,1668,1174,1650,1135,0,1650,1135
frame_0078.jpg,1668,1297,20,40,1668,1175,1648,1135,0,1648,1135
frame_0080.jpg,1668,1297,20,41,1668,1176,1648,1135,0,1648,1135
frame_0082.jpg,1668,1297,20,40,1668,1175,1648,1135,0,1648,1135
frame_0084.jpg,1668,1297,21,39,1668,1174,1647,1135,0,1647,1135
frame_0086.jpg,1668,1297,21,38,1668,1173,1647,1135,0,1647,1135
frame_0088.jpg,1668,1297,21,37,1668,1172,1647,1135,0,1647,1135
frame_0090.jpg,1668,1297,21,37,1668,1172,1647,1135,0,1647,1135
frame_0092.jpg,1668,1297,72,0,1668,1198,1596,1198,0,1596,1198
frame_0094.jpg,1668,1297,20,38,1668,1173,1648,1135,0,1648,1135
frame_0096.jpg,1668,1297,19,38,1668,1173,1649,1135,0,1649,1135
frame_0098.jpg,1668,1297,20,38,1668,1173,1648,1135,0,1648,1135
frame_0100.jpg,1668,1297,20,38,1668,1172,1648,1134,0,1648,1134
frame_0102.jpg,1668,1297,21,37,1668,1172,1647,1135,0,1647,1135
frame_0104.jpg,1668,1297,19,37,1668,1172,1649,1135,0,1649,1135
frame_0106.jpg,1668,1297,18,37,1668,1171,1650,1134,0,1650,1134
frame_0108.jpg,1668,1297,94,0,1668,1191,1574,1191,0,1574,1191
frame_0110.jpg,1668,1297,14,46,1668,1180,1654,1134,0,1654,1134
frame_0112.jpg,1668,1297,19,40,1668,1175,1649,1135,0,1649,1135
frame_0114.jpg,1668,1297,57,21,1653,1217,1596,1196,0,1596,1196
frame_0116.jpg,1668,1297,50,0,1646,1198,1596,1198,0,1596,1198
frame_0118.jpg,1668,1297,27,34,1668,1170,1641,1136,0,1641,1136
frame_0120.jpg,1668,1297,27,35,1668,1170,1641,1135,0,1641,1135
frame_0122.jpg,1668,1297,24,36,1668,1170,1644,1134,0,1644,1134
frame_0124.jpg,1668,1297,25,35,1668,1170,1643,1135,0,1643,1135
frame_0126.jpg,1668,1297,25,35,1668,1171,1643,1136,0,1643,1136
frame_0128.jpg,1668,1297,38,36,1668,1172,1630,1136,0,1630,1136
frame_0130.jpg,1668,1297,39,35,1668,1172,1629,1137,0,1629,1137
frame_0132.jpg,1668,1297,39,35,1668,1172,1629,1137,0,1629,1137
frame_0134.jpg,1668,1297,36,36,1668,1172,1632,1136,0,1632,1136
frame_0136.jpg,1668,1297,36,36,1668,1172,1632,1136,0,1632,1136
frame_0138.jpg,1668,1297,16,45,1668,1179,1652,1134,0,1652,1134
frame_0140.jpg,1668,1297,15,44,1668,1178,1653,1134,0,1653,1134
frame_0142.jpg,1668,1297,16,43,1668,1178,1652,1135,0,1652,1135
frame_0144.jpg,1668,1297,16,44,1668,1178,1652,1134,0,1652,1134
frame_0146.jpg,1668,1297,15,45,1668,1179,1653,1134,0,1653,1134
frame_0148.jpg,1668,1297,21,47,1668,1182,1647,1135,0,1647,1135
frame_0150.jpg,1668,1297,65,9,1661,1205,1596,1196,0,1596,1196
frame_0152.jpg,1668,1297,23,47,1668,1182,1645,1135,0,1645,1135
frame_0154.jpg,1668,1297,24,47,1668,1182,1644,1135,0,1644,1135
frame_0156.jpg,1668,1297,35,47,1668,1181,1633,1134,0,1633,1134
frame_0158.jpg,1668,1297,33,48,1668,1181,1635,1133,0,1635,1133
frame_0160.jpg,1668,1297,34,48,1668,1181,1634,1133,0,1634,1133
frame_0162.jpg,1668,1297,30,46,1668,1182,1638,1136,0,1638,1136
frame_0164.jpg,1668,1297,20,47,1668,1182,1648,1135,0,1648,1135
frame_0166.jpg,1668,1297,21,48,1668,1182,1647,1134,0,1647,1134
frame_0168.jpg,1668,1297,73,0,1668,1163,1595,1163,0,1595,1163
frame_0170.jpg,1668,1297,27,47,1668,1182,1641,1135,0,1641,1135
frame_0172.jpg,1668,1297,82,10,1668,1206,1586,1196,0,1586,1196
frame_0174.jpg,1668,1297,81,14,1668,1210,1587,1196,0,1587,1196
frame_0176.jpg,1668,1297,24,47,1668,1182,1644,1135,0,1644,1135
frame_0178.jpg,1668,1297,28,47,1668,1182,1640,1135,0,1640,1135
frame_0180.jpg,1668,1297,27,47,1668,1182,1641,1135,0,1641,1135
frame_0182.jpg,1668,1297,20,45,1668,1180,1648,1135,0,1648,1135
frame_0184.jpg,1668,1297,57,11,1653,1207,1596,1196,0,1596,1196
frame_0186.jpg,1668,1297,78,41,1668,1237,1590,1196,0,1590,1196
frame_0188.jpg,1668,1297,31,49,1668,1180,1637,1131,0,1637,1131
frame_0190.jpg,1668,1297,87,41,1668,1237,1581,1196,0,1581,1196
frame_0192.jpg,1668,1297,28,48,1668,1181,1640,1133,0,1640,1133
frame_0194.jpg,1668,1297,60,14,1656,1210,1596,1196,0,1596,1196
frame_0196.jpg,1668,1297,24,45,1668,1180,1644,1135,0,1644,1135
frame_0198.jpg,1668,1297,30,46,1668,1182,1638,1136,0,1638,1136
