frame,stem,frame_index,left_path,right_path,base_stitched_path,output_path,output_width,output_height,hess_residual_x,hess_residual_y,target_dx,target_dy,measured_dx,measured_dy,correction_dx,correction_dy,correction_norm,left_translation_x,left_translation_y,right_translation_x,right_translation_y,selected_left_rank,selected_right_rank,selected_pair_error_to_target,selected_left_x,selected_left_y,selected_right_x,selected_right_y,left_candidate_count,right_candidate_count,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33
frame_0000.jpg,frame_0000,0,D:\visualization2026\visualization\left_downsample2_Q11\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0000.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0000.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0000.jpg,1668,1297,0.017133727334258664,-0.04562439786348407,25.414855755859445,-34.17376032423382,126.27413660180389,8.746008722068268,-100.85928084594444,-42.919769046302086,109.6115920318148,-50.42964042297222,-21.459884523151043,50.42964042297222,21.459884523151043,0,0,109.6115920318148,571.582687490945,874.4595917716331,445.3085508891411,865.7135830495648,12,12,0.8943601240013128,0.07479091796324012,-50.561155333395696,-0.0841908539968026,0.9521640070261617,114.74611717556859,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,118.42964042297223,0.0,1.0,118.45988452315105,0.0,0.0,1.0
frame_0002.jpg,frame_0002,2,D:\visualization2026\visualization\left_downsample2_Q11\frame_0002.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0002.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0002.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0002.jpg,1668,1297,0.016784776700070975,-0.04548190021895396,25.60586666491584,-34.38050221793592,134.31957796729438,8.51173186801077,-108.71371130237854,-42.89223408594669,116.86922079838024,-54.35685565118927,-21.446117042973345,54.35685565118927,21.446117042973345,0,0,116.86922079838024,574.88191706255,876.3674386229451,440.5623390952556,867.8557067549343,12,12,0.8945070684039315,0.07477337381890031,-54.48837056161275,-0.0841913691338737,0.9521640685299615,114.75988465574629,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,122.35685565118928,0.0,1.0,118.44611704297334,0.0,0.0,1.0
frame_0004.jpg,frame_0004,4,D:\visualization2026\visualization\left_downsample2_Q11\frame_0004.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0004.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0004.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0004.jpg,1668,1297,0.016601146752343837,-0.045355373910123356,25.659959715701262,-34.43015627800167,125.79845987033514,-5.830267242393461,-100.13850015463387,-28.599889035608207,104.14256030110222,-50.06925007731694,-14.299944517804104,50.06925007731694,14.299944517804104,0,0,104.14256030110222,574.7464559602666,876.7060963939701,448.9479960899315,882.5363636363636,12,12,0.8943466392949816,0.07479252794381806,-50.20076498774041,-0.08445875708989299,0.9521959928007164,121.90605718091552,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,118.06925007731694,0.0,1.0,111.29994451780411,0.0,0.0,1.0
frame_0006.jpg,frame_0006,6,D:\visualization2026\visualization\left_downsample2_Q11\frame_0006.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0006.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0006.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0006.jpg,1668,1297,0.016783790250946368,-0.04529311351563951,25.436721011584776,-34.16491764513647,113.33911690157487,-19.669305083790277,-87.90239588999009,-14.495612561346192,89.08958405295876,-43.951197944995045,-7.247806280673096,43.951197944995045,7.247806280673096,0,0,89.08958405295876,574.4253830828046,876.6446107738149,461.08626618122975,896.3139158576051,12,12,0.894117720464836,0.07481985926727515,-44.08271285541852,-0.08472262656997487,0.9522274969898038,128.95819541804653,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,111.95119794499504,0.0,1.0,104.2478062806731,0.0,0.0,1.0
frame_0008.jpg,frame_0008,8,D:\visualization2026\visualization\left_downsample2_Q11\frame_0008.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0008.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0008.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0008.jpg,1668,1297,0.017549049615327383,-0.045338023453176196,24.776796657063727,-33.40446697345756,113.4269716611035,-18.4400296161931,-88.65017500403977,-14.964437357264458,89.90432644576327,-44.32508750201988,-7.482218678632229,44.32508750201988,7.482218678632229,0,0,89.90432644576327,574.3008815821048,876.8297969971238,460.8739099210013,895.2698266133169,12,12,0.8941317102704385,0.07481818898134113,-44.45660241244336,-0.08471385557378984,0.9522264497935832,128.7237830200874,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,112.32508750201988,0.0,1.0,104.48221867863222,0.0,0.0,1.0
frame_0010.jpg,frame_0010,10,D:\visualization2026\visualization\left_downsample2_Q11\frame_0010.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0010.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0010.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0010.jpg,1668,1297,0.0185933111687398,-0.04542313668317406,23.897738235796755,-32.394111794423736,31.24000431337572,-90.61408956986213,-7.342266077578966,58.219977775438394,58.681127147716815,-3.671133038789483,29.109988887719197,3.671133038789483,-29.109988887719197,1,1,58.681127147716815,1310.498041723868,33.31222198939551,1279.2580374104923,123.92631155925764,12,12,0.8926105634257832,0.07499980338331291,-3.8026479492129592,-0.08608302425155952,0.9523899190546117,165.31599058643883,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,71.67113303878948,0.0,1.0,67.8900111122808,0.0,0.0,1.0
frame_0012.jpg,frame_0012,12,D:\visualization2026\visualization\left_downsample2_Q11\frame_0012.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0012.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0012.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0012.jpg,1668,1297,0.019254674682200573,-0.045430006098817505,23.298636135984157,-31.70024943424317,120.12005496513427,-15.579479018217057,-96.82141882915012,-16.12077041602611,98.1542988508192,-48.41070941457506,-8.060385208013056,48.41070941457506,8.060385208013056,0,0,98.1542988508192,580.8468309214184,880.5514733627352,460.7267759562841,896.1309523809523,12,12,0.8942845817675117,0.07479993718295819,-48.542224324998536,-0.08469222234761381,0.95222386693615,128.14561649070657,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.41070941457505,0.0,1.0,105.06038520801306,0.0,0.0,1.0
frame_0014.jpg,frame_0014,14,D:\visualization2026\visualization\left_downsample2_Q11\frame_0014.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0014.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0014.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0014.jpg,1668,1297,0.01928797872263488,-0.0453041703899852,23.154810041221182,-31.52051643709973,120.55241758256165,-16.287995432299567,-97.39760754134046,-15.232521004800162,98.58155837142492,-48.69880377067023,-7.616260502400081,48.69880377067023,7.616260502400081,0,0,98.58155837142492,581.7219384796055,880.0935540070479,461.1695208970438,896.3815494393475,12,12,0.8942953613786595,0.07479865017201708,-48.83031868109371,-0.08470884013802304,0.9522258509852757,128.58974119631955,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.69880377067022,0.0,1.0,104.61626050240008,0.0,0.0,1.0
frame_0016.jpg,frame_0016,16,D:\visualization2026\visualization\left_downsample2_Q11\frame_0016.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0016.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0016.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0016.jpg,1668,1297,0.01921366005014888,-0.04514682397808725,23.08109877476882,-31.41881908328783,119.66018721337639,-15.625107155989895,-96.57908843860757,-15.793711927297934,97.86195205530521,-48.289544219303785,-7.896855963648967,48.289544219303785,7.896855963648967,0,0,97.86195205530521,581.3885822751048,880.2366814618963,461.7283950617284,895.8617886178862,12,12,0.8942800481358661,0.0748004784671892,-48.42105912972726,-0.08469834111262346,0.9522245974743304,128.30914573507067,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.28954421930379,0.0,1.0,104.89685596364896,0.0,0.0,1.0
frame_0018.jpg,frame_0018,18,D:\visualization2026\visualization\left_downsample2_Q11\frame_0018.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0018.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0018.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0018.jpg,1668,1297,0.01916837744881822,-0.04505164649729315,23.036811549641975,-31.357651135572052,119.99864657350196,-15.054891445187877,-96.96183502385998,-16.302759690384175,98.32282250178059,-48.48091751192999,-8.151379845192087,48.48091751192999,8.151379845192087,0,0,98.32282250178059,581.2582599808636,880.3427026325419,461.25961340736166,895.3975940777298,12,12,0.8942872087401438,0.0747996235406131,-48.612432422353464,-0.08468881760613041,0.9522234604335887,128.05462185352755,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.48091751192999,0.0,1.0,105.15137984519208,0.0,0.0,1.0
frame_0020.jpg,frame_0020,20,D:\visualization2026\visualization\left_downsample2_Q11\frame_0020.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0020.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0020.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0020.jpg,1668,1297,0.019245024210232387,-0.04500115138701537,22.92118013711429,-31.218381745611847,120.16802776841058,-16.21104616980074,-97.24684763129629,-15.007335575811108,98.39801570819182,-48.623423815648145,-7.503667787905554,48.623423815648145,7.503667787905554,0,0,98.39801570819182,581.3072250357035,880.1514170620048,461.1391972672929,896.3624632318056,12,12,0.8942925408909052,0.07479898691872802,-48.75493872607162,-0.08471305301361279,0.9522263539734543,128.70233391081408,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.62342381564815,0.0,1.0,104.50366778790556,0.0,0.0,1.0
frame_0022.jpg,frame_0022,22,D:\visualization2026\visualization\left_downsample2_Q11\frame_0022.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0022.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0022.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0022.jpg,1668,1297,0.01939014853565965,-0.044903978515242735,22.70083233604995,-30.952891334486843,120.60487010140668,-14.703088363036159,-97.90403776535672,-16.249802971450684,99.24342148158416,-48.95201888267836,-8.124901485725342,48.95201888267836,8.124901485725342,0,0,99.24342148158416,581.2133084366491,880.281352263157,460.6084383352424,894.9844406261932,12,12,0.8943048359149928,0.07479751897797349,-49.083533793101836,-0.08468980834549356,0.9522235787210096,128.0811002129943,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,116.95201888267836,0.0,1.0,105.12490148572535,0.0,0.0,1.0
frame_0024.jpg,frame_0024,24,D:\visualization2026\visualization\left_downsample2_Q11\frame_0024.jpg,D:\visualization2026\visualization\right_downsample2_Q11\frame_0024.jpg,D:\visualization2026\dowsample2_Q11\stitched_frames\frame_0024.jpg,D:\visualization2026\dowsample2_Q11_hess_matched\stitched_frames\frame_0024.jpg,1668,1297,0.0195296175623057,-0.04494092372504316,22.606466388339452,-30.84730096296475,120.69511277585195,-15.477281383274999,-98.0886463875125,-15.37001957968975,99.2855480521436,-49.04432319375625,-7.685009789844875,49.04432319375625,7.685009789844875,0,0,99.2855480521436,581.8244925478423,880.5480297766454,461.12937977199033,896.0253111599204,12,12,0.8943082896604746,0.07479710662467409,-49.175838104179725,-0.08470626774960353,0.9522255438599078,128.52099190887475,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,117.04432319375624,0.0,1.0,104.68500978984487,0.0,0.0,1.0
