frame,source_width,source_height,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,invalid_pixels_inside_crop,output_width,output_height
frame_0000.jpg,1668,1297,37,42,1668,1178,1631,1136,0,1631,1136
frame_0002.jpg,1668,1297,30,36,1668,1172,1638,1136,0,1638,1136
frame_0004.jpg,1668,1297,27,36,1668,1172,1641,1136,0,1641,1136
frame_0006.jpg,1668,1297,27,36,1668,1172,1641,1136,0,1641,1136
frame_0008.jpg,1668,1297,23,39,1668,1174,1645,1135,0,1645,1135
frame_0010.jpg,1668,1297,28,37,1668,1172,1640,1135,0,1640,1135
frame_0012.jpg,1668,1297,30,39,1668,1175,1638,1136,0,1638,1136
frame_0014.jpg,1668,1297,32,36,1668,1172,1636,1136,0,1636,1136
frame_0016.jpg,1668,1297,23,40,1668,1175,1645,1135,0,1645,1135
frame_0018.jpg,1668,1297,21,47,1668,1182,1647,1135,0,1647,1135
frame_0020.jpg,1668,1297,25,44,1668,1179,1643,1135,0,1643,1135
frame_0022.jpg,1668,1297,18,45,1668,1179,1650,1134,0,1650,1134
frame_0024.jpg,1668,1297,18,46,1668,1181,1650,1135,0,1650,1135
frame_0026.jpg,1668,1297,24,45,1668,1181,1644,1136,0,1644,1136
frame_0028.jpg,1668,1297,25,42,1668,1178,1643,1136,0,1643,1136
frame_0030.jpg,1668,1297,24,50,1668,1179,1644,1129,0,1644,1129
frame_0032.jpg,1668,1297,45,34,1668,1170,1623,1136,0,1623,1136
frame_0034.jpg,1668,1297,49,40,1668,1177,1619,1137,0,1619,1137
frame_0036.jpg,1668,1297,51,43,1668,1179,1617,1136,0,1617,1136
frame_0038.jpg,1668,1297,51,33,1668,1170,1617,1137,0,1617,1137
frame_0040.jpg,1668,1297,53,33,1668,1171,1615,1138,0,1615,1138
frame_0042.jpg,1668,1297,98,0,1668,1196,1570,1196,0,1570,1196
frame_0044.jpg,1668,1297,102,0,1668,1198,1566,1198,0,1566,1198
frame_0046.jpg,1668,1297,101,3,1668,1199,1567,1196,0,1567,1196
frame_0048.jpg,1668,1297,106,0,1668,1195,1562,1195,0,1562,1195
frame_0050.jpg,1668,1297,46,28,1668,1165,1622,1137,0,1622,1137
frame_0052.jpg,1668,1297,44,31,1668,1167,1624,1136,0,1624,1136
frame_0054.jpg,1668,1297,44,32,1668,1169,1624,1137,0,1624,1137
frame_0056.jpg,1668,1297,44,33,1668,1169,1624,1136,0,1624,1136
frame_0058.jpg,1668,1297,47,24,1668,1161,1621,1137,0,1621,1137
frame_0060.jpg,1668,1297,49,40,1668,1177,1619,1137,0,1619,1137
frame_0062.jpg,1668,1297,49,35,1668,1172,1619,1137,0,1619,1137
frame_0064.jpg,1668,1297,46,34,1668,1172,1622,1138,0,1622,1138
frame_0066.jpg,1668,1297,45,34,1668,1171,1623,1137,0,1623,1137
frame_0068.jpg,1668,1297,45,32,1668,1169,1623,1137,0,1623,1137
frame_0070.jpg,1668,1297,41,31,1668,1167,1627,1136,0,1627,1136
frame_0072.jpg,1668,1297,33,33,1668,1169,1635,1136,0,1635,1136
frame_0074.jpg,1668,1297,34,33,1668,1169,1634,1136,0,1634,1136
frame_0076.jpg,1668,1297,28,33,1668,1168,1640,1135,0,1640,1135
frame_0078.jpg,1668,1297,25,31,1668,1166,1643,1135,0,1643,1135
frame_0080.jpg,1668,1297,33,29,1668,1165,1635,1136,0,1635,1136
frame_0082.jpg,1668,1297,38,32,1668,1168,1630,1136,0,1630,1136
frame_0084.jpg,1668,1297,41,32,1668,1168,1627,1136,0,1627,1136
frame_0086.jpg,1668,1297,41,35,1668,1171,1627,1136,0,1627,1136
frame_0088.jpg,1668,1297,45,35,1668,1172,1623,1137,0,1623,1137
frame_0090.jpg,1668,1297,45,36,1668,1173,1623,1137,0,1623,1137
frame_0092.jpg,1668,1297,43,32,1668,1169,1625,1137,0,1625,1137
