frame,stem,frame_index,left_path,right_path,base_stitched_path,output_path,output_width,output_height,angle_split_dx_deg,angle_split_dy_deg,target_dx,target_dy,measured_dx,measured_dy,raw_correction_dx,raw_correction_dy,correction_dx,correction_dy,correction_norm,correction_interpolated,correction_norm_reliable,selected_pair_error_to_target,final_error_to_target,measurement_source,left_translation_x,left_translation_y,right_translation_x,right_translation_y,selected_left_rank,selected_right_rank,selected_left_canvas_x,selected_left_canvas_y,selected_right_canvas_x,selected_right_canvas_y,left_candidate_count,right_candidate_count,fused_candidate_count,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33,target_dx_before_horizontal_scale,target_dy_before_horizontal_scale,horizontal_scale_alpha,horizontal_px_per_deg,horizontal_scale_extra_dx,horizontal_scale_extra_dy
frame_0000.jpg,frame_0000,0,D:\visualization2026\visualization\left_downsample2_Q45\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0000.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0000.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0000.jpg,1668,1297,3.0044259958881696,2.7261768685158465,47.3985048659,39.1289702796,-6.412033542976939,55.93675052410913,53.810538408855024,-16.807780244501444,29.5752349852418,-13.059077317706233,32.33007925790006,0,1,56.37442257441148,24.523513322278315,fused,14.7876174926209,-6.529538658853117,-14.7876174926209,6.529538658853117,0,1,16.34129979035639,1029.2800838574424,22.75333333333333,973.3433333333332,12,12,12,0.8944925349210359,0.0747751090161391,-54.099950762495055,-0.08456957532085181,0.9522092237302706,124.86776947774291,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,121.96843585207158,0.0,1.0,108.33823222097672,0.0,0.0,1.0,47.39850486587809,39.128970279607685,0.000000,35.000000,0,0
frame_0002.jpg,frame_0002,2,D:\visualization2026\visualization\left_downsample2_Q45\frame_0002.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0002.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0002.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0002.jpg,1668,1297,3.089407484309614,2.5785463151092394,44.1616337813,34.4198773751,27.3044028340081,16.182101889338696,16.857230947300536,18.23777548577604,19.75552591252358,-5.509730166519028,20.50945953915511,0,1,24.835110023517117,23.9237149793092,fused,9.87776295626179,-2.754865083259514,-9.87776295626179,2.754865083259514,1,0,32.41776315789474,1039.5208333333333,5.113360323886639,1023.3387314439946,12,12,12,0.8947409174747973,0.07474545385883452,-60.738187606992625,-0.0848067895568853,0.9522375454677595,131.20752344930614,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,128.60667269656915,0.0,1.0,101.9984782494135,0.0,0.0,1.0,44.16163378130864,34.41987737511474,0.000000,35.000000,0,0
frame_0004.jpg,frame_0004,4,D:\visualization2026\visualization\left_downsample2_Q45\frame_0004.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0004.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0004.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0004.jpg,1668,1297,3.0995057526519503,2.4637283556367287,41.7956901299,31.3430100715,72.20836137753096,64.45283141230584,-30.412671247656647,-33.10982134080287,15.685680534845115,-5.882558575217544,16.7524645718797,0,1,44.957656095907915,53.538601725946414,fused,7.842840267422558,-2.941279287608772,-7.842840267422558,2.941279287608772,2,0,93.26388888888887,1113.017361111111,21.0555275113579,1048.5645296988052,12,12,12,0.8948533420296874,0.07473203114532397,-63.74283028899461,-0.08480148913906564,0.952236912634568,131.06586523568072,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,131.61131537857113,0.0,1.0,102.14013646303891,0.0,0.0,1.0,41.795690129874316,31.343010071502974,0.000000,35.000000,0,0
frame_0006.jpg,frame_0006,6,D:\visualization2026\visualization\left_downsample2_Q45\frame_0006.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0006.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0006.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0006.jpg,1668,1297,2.944107995651848,2.4408227652181296,41.7495776435,32.3753486165,37.0375845981996,11.4363931051098,4.711993045263931,20.93895551143457,12.859368276587873,-4.3924913983023774,13.58886798659384,0,1,21.462589227967158,26.609433021032455,fused,6.429684138293936,-2.1962456991511887,-6.429684138293936,2.1962456991511887,4,2,279.812865497076,1019.4873294346977,242.77528089887642,1008.0509363295879,12,12,12,0.8948787442923795,0.07472899829102475,-64.4217275528444,-0.08480660151596933,0.9522375230169761,131.20249789450097,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,132.29021264242093,0.0,1.0,102.00350380421868,0.0,0.0,1.0,41.74957764346353,32.37534861654437,0.000000,35.000000,0,0
frame_0008.jpg,frame_0008,8,D:\visualization2026\visualization\left_downsample2_Q45\frame_0008.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0008.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0008.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0008.jpg,1668,1297,2.5100699511811015,2.5528676511886594,45.2060136933,39.8138541681,11.744702172825171,58.485776456137614,33.46131152046273,-18.671922287994022,6.890153996104985,-10.404004372152691,12.478682986029167,0,1,38.31840354970885,27.827771719045764,fused,3.4450769980524925,-5.202002186076346,-3.4450769980524925,5.202002186076346,0,3,23.784821043553254,986.6140577835273,12.040118870728083,928.1282813273897,12,12,12,0.8950022230855577,0.07471425577799384,-67.72180423687792,-0.08470786563891909,0.9522257346368294,128.56369687171306,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,135.59028932645444,0.0,1.0,104.64230482700656,0.0,0.0,1.0,45.2060136932879,39.81385416814359,0.000000,35.000000,0,0
frame_0010.jpg,frame_0010,10,D:\visualization2026\visualization\left_downsample2_Q45\frame_0010.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0010.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0010.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0010.jpg,1668,1297,1.944953161982724,2.7186536721134296,50.1116893329,50.0138461853,10.432712215320912,59.37129054520358,39.67897711756881,-9.357444359925609,14.466618491596458,-4.788335008413756,15.238477703963783,0,1,40.767425599927854,25.623032368373494,fused,7.233309245798229,-2.394167504206878,-7.233309245798229,2.394167504206878,5,2,31.80952380952381,1035.9087301587301,21.3768115942029,976.5374396135265,12,12,12,0.8948446226227197,0.07473307218214927,-63.50979665713178,-0.08479440932545511,0.9522360673538383,130.876651142944,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,131.3782817467083,0.0,1.0,102.32935055577562,0.0,0.0,1.0,50.111689332889725,50.01384618527797,0.000000,35.000000,0,0
frame_0012.jpg,frame_0012,12,D:\visualization2026\visualization\left_downsample2_Q45\frame_0012.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0012.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0012.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0012.jpg,1668,1297,1.5903285217476935,2.805256695516345,52.8350692047,55.9634912674,65.82390965985383,67.78328065091819,-12.988840455113902,-11.819789383475538,21.163120449627087,-10.613167913295158,23.675240237877674,0,1,17.561816461804984,34.17326980274579,fused,10.581560224813543,-5.306583956647579,-10.581560224813543,5.306583956647579,8,3,918.3184818481848,226.2337733773377,852.494572188331,158.45049272641953,12,12,12,0.894743994994737,0.07474508642426016,-60.820436967679555,-0.08469730575454407,0.9522244738597437,128.28147490213246,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,128.6889220572561,0.0,1.0,104.92452679658717,0.0,0.0,1.0,52.83506920473992,55.96349126744265,0.000000,35.000000,0,0
frame_0014.jpg,frame_0014,14,D:\visualization2026\visualization\left_downsample2_Q45\frame_0014.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0014.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0014.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0014.jpg,1668,1297,1.5701369627252895,2.759514996021153,51.9580266312,54.9909414434,44.488375401373816,60.0224159655329,7.469651229800718,-5.031474522108184,22.30295205365996,-5.836430976830897,23.053971390091693,0,1,9.006188170446315,14.855125991559385,fused,11.15147602682998,-2.9182154884154485,-11.15147602682998,2.9182154884154485,5,2,49.454802259887,1092.545197740113,4.966426858513189,1032.5227817745802,12,12,12,0.8946797025316305,0.07475276249924227,-59.10216573262997,-0.08478661552807057,0.9522351368283889,130.66835522129796,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,126.9706508222065,0.0,1.0,102.53764647742167,0.0,0.0,1.0,51.95802663117453,54.99094144342472,0.000000,35.000000,0,0
frame_0016.jpg,frame_0016,16,D:\visualization2026\visualization\left_downsample2_Q45\frame_0016.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0016.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0016.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0016.jpg,1668,1297,1.6134123795399304,2.688415093739593,50.3927751404,52.6984577469,12.198272304968786,60.883666759839684,38.19450283541707,-8.185209012972429,6.2811300281115585,-8.441291950753591,10.521787121392547,0,1,39.06171646805511,31.914400235772717,fused,3.1405650140557793,-4.2206459753767955,-3.1405650140557793,4.2206459753767955,1,4,30.85232067510548,870.1223628691982,18.654048370136696,809.2386961093586,12,12,12,0.8950197358321756,0.07471216487729278,-68.1898474149835,-0.08468534194369015,0.9522230454635563,127.96173179293142,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,136.05833250456004,0.0,1.0,105.24426990578822,0.0,0.0,1.0,50.39277514038586,52.698457746867255,0.000000,35.000000,0,0
frame_0018.jpg,frame_0018,18,D:\visualization2026\visualization\left_downsample2_Q45\frame_0018.jpg,D:\visualization2026\visualization\right_downsample2_Q45\frame_0018.jpg,D:\visualization2026\dowsample2_Q45\stitched_frames\frame_0018.jpg,D:\visualization2026\dowsample2_Q45_hess_matched\stitched_frames\frame_0018.jpg,1668,1297,1.6324480885479176,2.6449612567356695,49.4562020714,51.3748895567,10.29573253077131,46.16312716235166,39.160469540627105,5.211762394327273,11.140168808439388,-12.930777302023094,17.067757987358547,0,1,39.5057570728281,33.380967627615114,fused,5.570084404219694,-6.465388651011547,-5.570084404219694,6.465388651011547,3,2,17.119631901840492,852.7740286298568,6.823899371069182,806.6109014675052,12,12,12,0.8951006183461823,0.07470250806509025,-70.35150199346756,-0.0844383600386808,0.9521935575340156,121.36092848799709,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,138.2199870830441,0.0,1.0,111.84507321072255,0.0,0.0,1.0,49.456202071398415,51.37488955667893,0.000000,35.000000,0,0
