frame,stem,frame_index,left_path,right_path,base_stitched_path,output_path,output_width,output_height,hess_residual_x,hess_residual_y,target_dx,target_dy,measured_dx,measured_dy,raw_correction_dx,raw_correction_dy,raw_correction_norm,correction_dx,correction_dy,correction_norm,correction_interpolated,left_translation_x,left_translation_y,right_translation_x,right_translation_y,selected_left_rank,selected_right_rank,selected_pair_error_to_target,selected_left_x,selected_left_y,selected_right_x,selected_right_y,left_candidate_count,right_candidate_count,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33
frame_0000.jpg,frame_0000,0,D:\visualization2026\visualization\left_downsample2_Q16\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0000.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0000.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0000.jpg,1750,1238,0.0021139207496163326,0.05053817839966415,41.16446809255266,23.02741009362887,-31.457528527918043,78.13900761739978,72.6219966204707,-55.11159752377091,91.16601655642178,72.6219966204707,-55.11159752377091,91.16601655642178,0,36.31099831023535,-27.555798761885455,-36.31099831023535,27.555798761885455,0,0,91.16601655642178,523.8886184733277,857.0220828976987,555.3461470012458,778.883075280299,12,12,0.8602739227078318,0.06362313331536645,36.03336284752898,-0.05632093746543744,0.927798032764425,64.15927851058885,-3.84652301656921e-05,1.9525547136809417e-06,1.0,1.0,0.0,113.68900168976465,0.0,1.0,65.55579876188546,0.0,0.0,1.0
frame_0002.jpg,frame_0002,2,D:\visualization2026\visualization\left_downsample2_Q16\frame_0002.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0002.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0002.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0002.jpg,1734,1236,0.001835085904457523,0.049347072709959555,42.517769838108244,21.908564936543762,-20.207416261462527,60.24713670455844,62.72518609957077,-38.33857176801468,73.51391063218578,62.72518609957077,-38.33857176801468,73.51391063218578,0,31.362593049785385,-19.16928588400734,-31.362593049785385,19.16928588400734,0,0,73.51391063218578,512.8726800950566,845.898245808242,533.0800963565191,785.6511091036836,12,12,0.8521889828244343,0.051455268266415555,31.355820211970336,-0.04683567989253475,0.9233022211779932,57.19122476749595,-4.2712696000718844e-05,1.4750274392725913e-06,1.0,1.0,0.0,102.63740695021461,0.0,1.0,55.16928588400734,0.0,0.0,1.0
frame_0004.jpg,frame_0004,4,D:\visualization2026\visualization\left_downsample2_Q16\frame_0004.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0004.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0004.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0004.jpg,1737,1237,0.0016994265481485304,0.04851438752590108,42.86251042552389,21.27550122751523,-36.18900010124105,45.86094147904498,79.05151052676493,-24.58544025152975,82.7863828713682,79.05151052676493,-24.58544025152975,82.7863828713682,0,39.525755263382464,-12.292720125764875,-39.525755263382464,12.292720125764875,0,0,82.7863828713682,516.0952208060568,848.3473320115894,552.2842209072978,802.4863905325444,12,12,0.8567065362546723,0.05478606007200901,39.38727137024283,-0.04721598609811045,0.9287383873273485,64.20794338511993,-4.086483261051469e-05,4.367503366818224e-06,1.0,1.0,0.0,97.47424473661754,0.0,1.0,49.29272012576487,0.0,0.0,1.0
frame_0006.jpg,frame_0006,6,D:\visualization2026\visualization\left_downsample2_Q16\frame_0006.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0006.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0006.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0006.jpg,1736,1236,0.0018789901165557343,0.04848877295812418,41.00898942804084,21.718251206294624,-36.848856802670525,45.71868894260717,77.85784623071137,-24.00043773631255,81.47309513710469,77.85784623071137,-24.00043773631255,81.47309513710469,0,38.92892311535569,-12.000218868156274,-38.92892311535569,12.000218868156274,0,0,81.47309513710469,514.8284372909326,845.8490792961734,551.6772940936031,800.1303903535662,12,12,0.8556305402164234,0.05346644750400263,38.547023159615705,-0.046685494587106885,0.926435349057334,63.31509983356684,-4.142188854838784e-05,3.512654642255022e-06,1.0,1.0,0.0,97.07107688464431,0.0,1.0,48.000218868156274,0.0,0.0,1.0
frame_0008.jpg,frame_0008,8,D:\visualization2026\visualization\left_downsample2_Q16\frame_0008.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0008.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0008.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0008.jpg,1736,1237,0.0025596316083677517,0.049599523101891196,35.47955017882006,23.819758220845603,-36.28993931991954,45.40333886574513,71.7694894987396,-21.583580644899524,74.94471680088314,71.7694894987396,-21.583580644899524,74.94471680088314,0,35.8847447493698,-10.791790322449762,-35.8847447493698,10.791790322449762,0,0,74.94471680088314,514.8490126286238,847.3100736368385,551.1389519485433,801.9067347710934,12,12,0.855268902098675,0.05373050455902708,35.81225697667291,-0.04727843539045644,0.9269470819615527,65.97889145419373,-4.1628129066488754e-05,3.7113182985531236e-06,1.0,1.0,0.0,100.1152552506302,0.0,1.0,47.79179032244976,0.0,0.0,1.0
frame_0010.jpg,frame_0010,10,D:\visualization2026\visualization\left_downsample2_Q16\frame_0010.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0010.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0010.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0010.jpg,1735,1236,0.003475027737559616,0.05120590556472844,28.182411917987007,26.68551255073932,-38.088024344513656,46.53398986174432,66.27043626250067,-19.848477311005,69.17899084250683,66.27043626250067,-19.848477311005,69.17899084250683,0,33.13521813125033,-9.9242386555025,-33.13521813125033,9.9242386555025,0,0,69.17899084250683,513.4716703119749,846.5283918973677,551.5596946564885,799.9944020356234,12,12,0.8548471124994843,0.05213402863807033,32.73716427457399,-0.047160691823406674,0.9257316695830272,65.95600463996723,-4.168362090388219e-05,2.447776503068692e-06,1.0,1.0,0.0,101.86478186874967,0.0,1.0,45.9242386555025,0.0,0.0,1.0
frame_0012.jpg,frame_0012,12,D:\visualization2026\visualization\left_downsample2_Q16\frame_0012.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0012.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0012.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0012.jpg,1739,1236,0.004057258851664358,0.05228258691988111,23.60920118816986,28.527511552077065,-37.82422172144925,46.75383468316704,61.43342290961911,-18.226323131089977,64.08013971013968,61.43342290961911,-18.226323131089977,64.08013971013968,0,30.716711454809555,-9.113161565544988,-30.716711454809555,9.113161565544988,0,0,64.08013971013968,516.884136606885,848.0376779145207,554.7083583283343,801.2838432313537,12,12,0.8611643311517573,0.052691055011495166,30.37518877039234,-0.04668858846339478,0.9296727690359208,65.9486639615344,-3.8984550148202444e-05,2.6654179993409385e-06,1.0,1.0,0.0,108.28328854519044,0.0,1.0,45.113161565544985,0.0,0.0,1.0
frame_0014.jpg,frame_0014,14,D:\visualization2026\visualization\left_downsample2_Q16\frame_0014.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0014.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0014.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0014.jpg,1742,1237,0.004107088659368069,0.05252943454869728,23.409464461701244,28.739367413712102,35.35692896861883,67.34768486107072,-11.947464506917587,-38.608317447358615,40.41465185127878,-11.947464506917587,-38.608317447358615,40.41465185127878,0,-5.9737322534587936,-19.304158723679308,5.9737322534587936,19.304158723679308,2,1,40.41465185127878,1244.769478438809,119.79693802077963,1209.4125494701902,52.449253159708924,12,12,0.8651483170871618,0.05026525077843514,-5.9426092627697376,-0.04571673531792678,0.9287489627647927,54.81423600331621,-3.755195883548678e-05,3.3642970279159302e-06,1.0,1.0,0.0,147.9737322534588,0.0,1.0,56.30415872367931,0.0,0.0,1.0
frame_0016.jpg,frame_0016,16,D:\visualization2026\visualization\left_downsample2_Q16\frame_0016.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0016.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0016.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0016.jpg,1761,1251,0.004066894128183979,0.05269474827612847,24.0220701917816,28.696179320573414,-51.86023698243093,32.5849593022225,75.88230717421254,-3.888779981649087,75.98188699833153,75.88230717421254,-3.888779981649087,75.98188699833153,0,37.94115358710627,-1.9443899908245434,-37.94115358710627,1.9443899908245434,0,0,75.98188699833153,524.6232108626659,847.1986382528784,576.4834478450969,814.6136789506559,12,12,0.8713349438146035,0.06276062163540923,37.74455537699194,-0.04360464056578124,0.9444467521220309,67.85886997666528,-3.3618721274105914e-05,1.30502008960997e-05,1.0,1.0,0.0,123.05884641289373,0.0,1.0,52.94438999082455,0.0,0.0,1.0
frame_0018.jpg,frame_0018,18,D:\visualization2026\visualization\left_downsample2_Q16\frame_0018.jpg,D:\visualization2026\visualization\right_downsample2_Q16\frame_0018.jpg,D:\visualization2026\dowsample2_Q16\stitched_frames\frame_0018.jpg,D:\visualization2026\dowsample2_Q16_hess_matched\stitched_frames\frame_0018.jpg,1762,1249,0.004042337917935013,0.0528164016524912,24.42192452386094,28.677033012818058,-54.527519903742245,31.400523159857585,78.94944442760318,-2.723490147039527,78.99640608286066,78.94944442760318,-2.723490147039527,78.99640608286066,0,39.47472221380159,-1.3617450735197636,-39.47472221380159,1.3617450735197636,0,0,78.99640608286066,523.2791880425941,845.1233301774014,577.8067079463364,813.7228070175438,12,12,0.8743673184831435,0.0579816330425443,39.364970728713764,-0.04231479333101161,0.9415860613565177,66.30876765075189,-3.181746650639027e-05,9.54009996988117e-06,1.0,1.0,0.0,122.52527778619842,0.0,1.0,50.361745073519764,0.0,0.0,1.0
